genre1,genre3,imdb_id,passed,type,title,bechdel_id,bechdel_rating,num_votes,runtime_minutes,imdb_rating,year,genre2
Action,Fantasy,tt12361974,Pass,movie,Zack Snyder's Justice League,9575,3,361237,242,8.1,2021,Adventure
Action,Drama,tt11734264,Pass,movie,Sentinelle,9574,3,7566,80,4.7,2021,Crime
Action,Animation,tt9507276,Pass,movie,Saga of Tanya the Evil - The Movie,9573,3,1127,115,7.6,2019,Adventure
Documentary,,tt5553782,Pass,movie,Linefork,9572,3,16,96,7.8,2016,Music
Crime,,tt9130508,Fail,movie,Cherry,9571,0,29419,142,6.6,2021,Drama
Drama,,tt4074928,Fail,movie,Realive,9570,1,5210,112,5.9,2016,Sci-Fi
Comedy,,tt0471287,Pass,movie,Ocean Drive Weekend,9569,3,81,77,5.5,1985,
Action,Crime,tt7262882,Pass,movie,Master Z: The Ip Man Legacy,9568,3,8337,107,6.5,2018,Biography
Drama,,tt0046816,Fail,movie,"Caine Mutiny, The",9567,1,27183,124,7.7,1954,War
Action,Fantasy,tt0093507,Pass,movie,Masters of the Universe,9566,3,40088,106,5.4,1987,Adventure
Action,Thriller,tt0107076,Fail,movie,Hard Target,9565,1,49869,97,6.2,1993,Crime
Action,,tt0101764,Fail,movie,Double Impact,9564,1,40369,110,5.6,1991,Crime
Action,Drama,tt0100029,Fail,movie,Lionheart,9563,1,35609,108,6.2,1990,Crime
Action,Mystery,tt1525836,Fail,movie,Gantz: Perfect Answer,9562,1,4279,141,6.2,2011,Horror
Action,Sci-Fi,tt1525835,Fail,movie,Gantz,9561,1,7701,130,6.4,2010,Horror
Action,Sport,tt0077864,Fail,movie,Lo chiamavano Bulldozer,9560,0,5420,110,6.8,1978,Comedy
Action,Crime,tt0073541,Fail,movie,Flatfoot in Hong Kong,9559,1,3202,115,6.5,1975,Comedy
Action,Crime,tt0070534,Fail,movie,"Knock Out Cop, The",9558,0,3732,99,6.8,1973,Comedy
Comedy,,tt0068154,Fail,movie,Trinity Is Still My Name,9557,1,15550,117,7.3,1971,Western
Thriller,,tt0063379,Fail,movie,"Today We Kill, Tomorrow We Die!",9556,0,1512,105,6.2,1968,Western
Western,,tt0061576,Fail,movie,God Forgives... I Don't!,9555,0,4626,109,6.3,1967,
Drama,,tt5723416,Pass,movie,"Beyond, The",9554,3,6135,103,4.9,2017,Sci-Fi
Comedy,Mystery,tt1825157,Fail,movie,"Double, The",9553,1,49732,93,6.5,2013,Drama
Action,Drama,tt1220719,Fail,movie,Yip Man,9552,0,220136,106,8,2008,Biography
Action,Drama,tt2888046,Fail,movie,Ip Man 3,9551,1,53940,105,7.1,2015,Biography
Action,,tt0431641,Pass,movie,Azumi 2: Death or Love,9550,3,5545,108,6.3,2005,
Action,Drama,tt0384819,Fail,movie,Azumi,9549,0,14689,128,6.8,2003,Adventure
Action,,tt0102202,Fail,movie,Kickboxer 2: The Road Back,9548,0,5775,90,4.5,1991,Sport
Adventure,Fantasy,tt0062803,Pass,movie,Chitty Chitty Bang Bang,9547,3,45054,144,6.9,1968,Family
Action,,tt0100266,Fail,movie,"No Retreat, No Surrender 3: Blood Brothers",9546,0,893,101,5.2,1990,
Action,,tt0097991,Fail,movie,"No Retreat, No Surrender 2",9545,1,1762,104,5.1,1987,Adventure
Action,Crime,tt0089695,Fail,movie,"No Retreat, No Surrender",9544,0,16852,85,5.7,1986,Comedy
Action,Sci-Fi,tt11946300,Fail,movie,Deep Blue Sea 3,9543,1,6054,100,4.6,2020,Horror
Action,Sci-Fi,tt7086706,Fail,video,Deep Blue Sea 2,9542,1,7276,94,3.4,2018,Horror
Action,Sci-Fi,tt0149261,Fail,movie,Deep Blue Sea,9541,1,131382,105,5.9,1999,Adventure
Horror,,tt1999995,Pass,movie,Would You Rather,9540,3,40577,93,5.7,2012,Thriller
Action,Drama,tt0097334,Fail,movie,Farewell to the King,9539,0,2832,117,6.3,1989,Adventure
Drama,,tt0089767,Fail,movie,Pale Rider,9538,2,57924,115,7.3,1985,Western
Crime,Romance,tt0100222,Fail,movie,Naked Tango,9537,1,660,90,6,1990,Drama
Comedy,Romance,tt0090142,Fail,movie,Teen Wolf,9536,2,51415,91,6.1,1985,Fantasy
Action,,tt0227200,Fail,movie,Operation Delta Force 5: Random Fire,9535,0,401,91,3.4,2000,
Action,,tt0194800,Fail,movie,Operation Delta Force 4: Deep Fault,9534,0,396,96,3.8,1999,
Action,,tt0101702,Fail,movie,Delta Force 3: The Killing Game,9533,0,989,97,3.6,1991,Adventure
Action,Crime,tt0099399,Fail,movie,Delta Force 2: The Colombian Connection,9532,1,7368,111,4.9,1990,Adventure
Action,Drama,tt0090927,Fail,movie,"Delta Force, The",9531,1,20131,125,5.7,1986,Adventure
Action,Thriller,tt0100232,Fail,movie,Navy Seals,9530,0,16637,113,5.6,1990,Adventure
Action,Drama,tt0099426,Fail,movie,Bullet in the Head,9529,1,10587,136,7.6,1990,Crime
Action,Drama,tt0097202,Fail,movie,"Killer, The",9528,0,47718,111,7.8,1989,Crime
Comedy,,tt0356150,Fail,movie,EuroTrip,9527,1,206107,92,6.6,2004,
Comedy,Music,tt6432466,Pass,movie,Moxie,9526,3,23816,111,6.7,2021,Drama
